label,content,clean,norm,stop,token,stem
positif,memenuhi semua kebutuhan,memenuhi semua kebutuhan, memenuhi semua kebutuhan , memenuhi semua kebutuhan ,"['memenuhi', 'semua', 'kebutuhan']",penuh semua butuh
negatif,"banyak lagi dong coin nya jgn kecil"" Mulu",banyak lagi dong coin nya jgn kecil mulu, banyak lagi dong coin nya jgn kecil mulu , lagi dong coin nya jgn kecil mulu ,"['lagi', 'dong', 'coin', 'nya', 'jgn', 'kecil', 'mulu']",lagi dong coin nya jgn kecil mulu
negatif,"jujur sangat kecewa sebagai pengguna shopee, apalagi sama seluruh karyawan yang ada di DC bandung (nanjung), sering ada kehilangan tapi semua lalay gaada timbal balik atau itikad baik buat mengembalikan atau memperbenah cctv. seperti ada kesengajaan permainan karyawan yang bekerja di dalam. sumpah kecewa sama seluruh pegawai",jujur sangat kecewa sebagai pengguna shopee apalagi sama seluruh karyawan yang ada di dc bandung nanjung sering ada kehilangan tapi semua lalay gaada timbal balik atau itikad baik buat mengembalikan atau memperbenah cctv seperti ada kesengajaan permainan karyawan yang bekerja di dalam sumpah kecewa sama seluruh pegawai, jujur sangat kecewa sebagai pengguna shopee apalagi sama seluruh karyawan yang ada di dc bandung nanjung sering ada kehilangan tapi semua lalay gaada timbal balik atau itikad baik buat mengembalikan atau memperbenah cctv seperti ada kesengajaan permainan karyawan yang bekerja di dalam sumpah kecewa sama seluruh pegawai , jujur kecewa pengguna shopee sama seluruh karyawan dc bandung nanjung sering ada kehilangan semua lalay gaada timbal balik itikad buat mengembalikan memperbenah cctv ada kesengajaan permainan karyawan bekerja dalam sumpah kecewa sama seluruh pegawai ,"['jujur', 'kecewa', 'pengguna', 'shopee', 'sama', 'seluruh', 'karyawan', 'dc', 'bandung', 'nanjung', 'sering', 'ada', 'kehilangan', 'semua', 'lalay', 'gaada', 'timbal', 'balik', 'itikad', 'buat', 'mengembalikan', 'memperbenah', 'cctv', 'ada', 'kesengajaan', 'permainan', 'karyawan', 'bekerja', 'dalam', 'sumpah', 'kecewa', 'sama', 'seluruh', 'pegawai']",jujur kecewa guna shopee sama seluruh karyawan dc bandung nanjung sering ada hilang semua lalay gaada timbal balik itikad buat kembali benah cctv ada sengaja main karyawan kerja dalam sumpah kecewa sama seluruh pegawai
positif,like 10.000.000 kali,like 10000000 kali, like 10000000 kali , like 10000000 kali ,"['like', '10000000', 'kali']",like 10000000 kali
positif,"bagus, belanja mudah, cepat, dan semua ada",bagus belanja mudah cepat dan semua ada, bagus belanja mudah cepat dan semua ada , bagus belanja mudah cepat semua ,"['bagus', 'belanja', 'mudah', 'cepat', 'semua']",bagus belanja mudah cepat semua
negatif,"Saat awal buka aplikasi, knp lgsg diarahkan ke video ? Tidak semua org buka aplikasi, pingin nonton video, mana suaranya terlalu tinggi dan mengganggu",saat awal buka aplikasi knp lgsg diarahkan ke video tidak semua org buka aplikasi pingin nonton video mana suaranya terlalu tinggi dan mengganggu, saat awal buka aplikasi knp lgsg diarahkan ke video tidak semua org buka aplikasi pingin nonton video mana suaranya terlalu tinggi dan mengganggu , awal buka aplikasi knp lgsg diarahkan video semua org buka aplikasi pingin nonton video suaranya terlalu tinggi mengganggu ,"['awal', 'buka', 'aplikasi', 'knp', 'lgsg', 'diarahkan', 'video', 'semua', 'org', 'buka', 'aplikasi', 'pingin', 'nonton', 'video', 'suaranya', 'terlalu', 'tinggi', 'mengganggu']",awal buka aplikasi knp lgsg arah video semua org buka aplikasi pingin nonton video suara terlalu tinggi ganggu
positif,sangat mantapp,sangat mantapp, sangat mantapp , mantapp ,['mantapp'],mantapp
positif,keren mempermudah hal yang urgent,keren mempermudah hal yang urgent, keren mempermudah hal yang urgent , keren mempermudah yang urgent ,"['keren', 'mempermudah', 'yang', 'urgent']",keren mudah yang urgent
positif,Bagus banget Game Shope nya,bagus banget game shope nya, bagus banget game shope nya , bagus banget game shope nya ,"['bagus', 'banget', 'game', 'shope', 'nya']",bagus banget game shope nya
netral,kasih 2bintang dulu TPI jika di ACC baru bintang 5,kasih 2bintang dulu tpi jika di acc baru bintang 5, kasih 2bintang dulu tpi jika di acc baru bintang 5 , kasih 2bintang dulu tpi di acc bintang 5 ,"['kasih', '2bintang', 'dulu', 'tpi', 'di', 'acc', 'bintang', '5']",kasih 2bintang dulu tpi di acc bintang 5
