aplikasi,fold,text,true,pred,status
Tokopedia,1,Kenapa ya limit Gopaynya gak bisa di pake,netral,positif,SALAH
Tokopedia,1,Vouchernya semua PHP,negatif,positif,SALAH
Tokopedia,1,gabisa di buka apk nya,negatif,positif,SALAH
Tokopedia,1,bagussss bangett,netral,positif,SALAH
Tokopedia,1,terimah kasih,netral,positif,SALAH
Tokopedia,1,"sekarang ga ngasih diskon buat belanja kah ?, jgn hanya buat pembayaran aja diskonnya, dulu kalo ga belanja 1 / 2 / 3 bulan dapat diskon 10rb atau berapa gitu... tapi sekarang udah berubah... diambil tiktok makanya berubah.........😮‍💨😮‍💨😮‍💨 beli lagi sahamnya biar China ga berkuasa, setelah tokped merger Ama TikTok diskon dibatasi bahkan ga dapat...💔",netral,negatif,SALAH
Tokopedia,1,kenapa sekarang paylater ga bisa di pakai padahal saya tiap bulan bayar tepat waktu,netral,negatif,SALAH
Tokopedia,1,cukup membantu dan mempermudah untuk belanja.,netral,positif,SALAH
Tokopedia,1,uang ketahan 2 juta udah 4 hari,negatif,positif,SALAH
Tokopedia,1,Ongkirnya lebih mahal jauh daripada shopee,negatif,positif,SALAH
Tokopedia,1,aplikasi Tokopedia bagus!! tingkat kan terus promo menarik lainnya harga barang yang murah dan berkualitas serta promo gratis ongkir nya!! sehingga mendukung efisiensi anggaran yang tepat sasaran!! mendukung Indonesia maju!! berjuang tiada akhir !! 🙏🇲🇨❤️,positif,negatif,SALAH
Tokopedia,1,"tdk da opsi trf manual jdikn tokped hanya tuk orang kota yg signyal stabil, kami di daerah plosok gk bs pakai mobile banking, klo review bintang 2 gk bs mengulas toko n produk, entah bintang 3",netral,negatif,SALAH
Tokopedia,1,barangnya mahal dan jelek aja pastinya,negatif,positif,SALAH
Tokopedia,1,masih ada seler bodong,negatif,positif,SALAH
Tokopedia,1,susah mengkaitkan rekening gagal terus,negatif,positif,SALAH
Tokopedia,1,aplikasinya friendly user. fiturnya lengkap. cara deposit juga mudah n cepat. mungkin bisa diperbaiki untuk cek history biar lebih bisa difilter per tgl.,positif,negatif,SALAH
Tokopedia,1,proses yang sangat mudah dan cepat,positif,negatif,SALAH
Tokopedia,1,Toko pedia terpercaya dan ada gratis onkir..saya rekomendasikan buat beli di Toko pedia...terima kasih Toko pedia,positif,negatif,SALAH
Tokopedia,1,harga pengiriman ke lokasi luar pulau udah setara dengan pemesanan saya offline. belanja udah 3 jutaan spare part lamban datang.,netral,negatif,SALAH
Tokopedia,1,"pusing bos,,..",negatif,positif,SALAH
Tokopedia,1,mantaps,netral,positif,SALAH
Tokopedia,1,keamanan privasi@?!?!,netral,positif,SALAH
Tokopedia,1,agak lambat kerja di hp jadul,netral,negatif,SALAH
Tokopedia,1,Jelek ga ada promonya,negatif,positif,SALAH
Tokopedia,1,MEMUDAHKAN SAYA UNTUK BELANJA ONLINE,netral,positif,SALAH
Tokopedia,1,lumayan,netral,positif,SALAH
Tokopedia,1,Mantap deh Tokopedia + Gopay sekarang ini.!! 👍😃,positif,negatif,SALAH
Tokopedia,1,okay banget,netral,positif,SALAH
Tokopedia,1,memudahkan belanja,netral,positif,SALAH
Tokopedia,1,"tidak kalah dengan toko sebelah,barangnya fresh",positif,negatif,SALAH
Tokopedia,1,Kenapa aplikasi tokopedis saya tidak bisa dibuka setelah saya up date aplikasi tokopedia ? Tolong dibantu. Terima kasih.,netral,negatif,SALAH
Tokopedia,1,sangat mudah dan praktis dan harga terjangkau,positif,negatif,SALAH
Tokopedia,1,aplikasi aswy... ganggu orang lagi push rank udah nonaktif notifikasi masih aja muncul.. emang 🗿 nih aplikasi,netral,negatif,SALAH
Tokopedia,1,"Sangat tidak rekomendasi belanja di sini, hadehhh, mesen dari tanggal sekian sampe sekarang blm dikirim kirim juga, beda sama apk sebelah, mesen jam sekian langsung dikirim besoknya, beda sama di sini, sangat tidak rekomendasi 🤗🤗🤗🤗🥰🥰🥰🙏🙏🙏 bintang 1, langsung ku hapus apknya, yang penting dananya sudah di refund haha that's so funny",netral,negatif,SALAH
Tokopedia,1,sangat rekomendasi,netral,positif,SALAH
Tokopedia,1,sangat menyenangkan,netral,positif,SALAH
Tokopedia,1,aplikasi paling ribet dan menyusahkan bagi user khususnya penjual,netral,positif,SALAH
Tokopedia,1,"untuk setel lokasi kenapa ngeblank ya map nya, lokasinya gabisa di stel lewat lokasi saat ini apa, harus setting manual kan pIer bet",netral,negatif,SALAH
Tokopedia,1,banyak yg gk bisa COD,netral,positif,SALAH
Tokopedia,1,woi gimana caranya kan aku bocil jadi bintang 5 lagi,netral,negatif,SALAH
Tokopedia,1,min tombol batalkan pesanan di taro mana,netral,negatif,SALAH
Tokopedia,2,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .,positif,negatif,SALAH
Tokopedia,2,baru tgl 22 update masa minta update lagi,netral,positif,SALAH
Tokopedia,2,membuat kita muda untuk mencari barang yg kita perlukan,netral,negatif,SALAH
Tokopedia,2,Sering minta update terus.... Sedangkan Performa biasa saja.,negatif,positif,SALAH
Tokopedia,2,saya di tipu di tokopedia,negatif,positif,SALAH
Tokopedia,2,Tokopedia tolong dong kaya dulu lagi bisa lihat kapan terakhir toko aktif biar jadi patokan kalo belanja. Soalnya saya sering banget belanja tapi tau tau toko nya udah tutup akhirnya saya nunggu lagi padahal barangnya sedang saya butuhin. Terimakasih,netral,negatif,SALAH
Tokopedia,2,Jelek,negatif,positif,SALAH
Tokopedia,2,cuma gabut aku,netral,positif,SALAH
Tokopedia,2,menu pencarian tidak akurat,negatif,positif,SALAH
Tokopedia,2,"Yang terhormat Pihak Tokopedia,saya ingin menyampaikan komplain. Mengapa semua pembayaran di Tokopedia walaupun COD pastinya ada S&K tolonglah jangan menggunakan S&K saya sebagai pemakai aplikasi merasa kurang nyaman",netral,negatif,SALAH
Tokopedia,2,mantab,netral,positif,SALAH
Tokopedia,2,kenapa gak bisa daftar tokped afilliate,netral,positif,SALAH
Tokopedia,2,pengiriman lamaaaaaaaaaa bnget apk jelekk,negatif,positif,SALAH
Tokopedia,2,diaplikasi laingk bisa,netral,positif,SALAH
Tokopedia,2,e-commerce lelet,negatif,positif,SALAH
Tokopedia,2,tidak bisa cod,negatif,positif,SALAH
