label,content,clean,norm,stop,token,stem
positif,"bagus, dan tolong pertahankan",bagus dan tolong pertahankan, bagus dan tolong pertahankan , bagus tolong pertahankan ,"['bagus', 'tolong', 'pertahankan']",bagus tolong tahan
positif,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga . memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain .dan dana saya sudah bisa ditarik setelah 10 hari .,baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain dan dana saya sudah bisa ditarik setelah 10 hari, baik terimakasih meskipun agak lama responnya tapi itu demi keamanan dana refund kita juga memberi waktu ke kita untuk membuktikan dana tetap aman dan tidak disalahgunakan orang lain dan dana saya sudah bisa ditarik setelah 10 hari , terimakasih meskipun lama responnya itu keamanan dana refund juga memberi waktu kita membuktikan dana tetap aman tidak disalahgunakan orang dan dana sudah ditarik 10 hari ,"['terimakasih', 'meskipun', 'lama', 'responnya', 'itu', 'keamanan', 'dana', 'refund', 'juga', 'memberi', 'waktu', 'kita', 'membuktikan', 'dana', 'tetap', 'aman', 'tidak', 'disalahgunakan', 'orang', 'dan', 'dana', 'sudah', 'ditarik', '10', 'hari']",terimakasih meski lama responnya itu aman dana refund juga beri waktu kita bukti dana tetap aman tidak disalahgunakan orang dan dana sudah tarik 10 hari
negatif,KURIR YG RETUR PENGGUNA YG NANGGUNG APLIKASI TOLOL,kurir yg retur pengguna yg nanggung aplikasi tolol, kurir yang retur pengguna yang nanggung aplikasi tolol , kurir retur pengguna nanggung aplikasi tolol ,"['kurir', 'retur', 'pengguna', 'nanggung', 'aplikasi', 'tolol']",kurir retur guna nanggung aplikasi tolol
negatif,"Daftar affiliate-nya masih eror terus, udah dilakukan seperti yang disarankan oleh Tokopedia customer care-nya masih aja belum bisa daftar. Solusinya dong!",daftar affiliatenya masih eror terus udah dilakukan seperti yang disarankan oleh tokopedia customer carenya masih aja belum bisa daftar solusinya dong, daftar affiliatenya masih eror terus udah dilakukan seperti yang disarankan oleh tokopedia customer carenya masih aja belum bisa daftar solusinya dong , daftar affiliatenya eror terus udah dilakukan yang disarankan tokopedia customer carenya aja bisa daftar solusinya dong ,"['daftar', 'affiliatenya', 'eror', 'terus', 'udah', 'dilakukan', 'yang', 'disarankan', 'tokopedia', 'customer', 'carenya', 'aja', 'bisa', 'daftar', 'solusinya', 'dong']",daftar affiliatenya eror terus udah laku yang saran tokopedia customer carenya aja bisa daftar solusi dong
positif,belanja murah,belanja murah, belanja murah , belanja murah ,"['belanja', 'murah']",belanja murah
negatif,Lemot,lemot, lemot , lemot ,['lemot'],lot
positif,paylater gede gw di acc 20 juta,paylater gede gw di acc 20 juta, paylater gede gw di acc 20 juta , paylater gede gw acc 20 juta ,"['paylater', 'gede', 'gw', 'acc', '20', 'juta']",paylater gede gw acc 20 juta
negatif,"Pertama kali ngereturn barang, yang dikembalikan dananya cuma setengahnya njir😹",pertama kali ngereturn barang yang dikembalikan dananya cuma setengahnya njir, pertama kali ngereturn barang yang dikembalikan dananya cuma setengahnya njir , pertama kali ngereturn barang dikembalikan dananya cuma setengahnya njir ,"['pertama', 'kali', 'ngereturn', 'barang', 'dikembalikan', 'dananya', 'cuma', 'setengahnya', 'njir']",pertama kali ngereturn barang kembali dana cuma tengah njir
positif,selama ini aman aman aja belanja di toko pedia.belia ada sedikit kendala responnya juga cepet,selama ini aman aman aja belanja di toko pediabelia ada sedikit kendala responnya juga cepet, selama ini aman aman aja belanja di toko pediabelia ada sedikit kendala responnya juga cepet , selama aman aman aja belanja toko pediabelia sedikit kendala responnya cepet ,"['selama', 'aman', 'aman', 'aja', 'belanja', 'toko', 'pediabelia', 'sedikit', 'kendala', 'responnya', 'cepet']",lama aman aman aja belanja toko pediabelia sedikit kendala responnya cepet
negatif,Tolong perbaiki Tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga,tolong perbaiki tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga, tolong perbaiki tokopedia karena aku sering beli disini tapi kalo banyak penjual yang tidak bertanggung jawab kan jadi takut juga , perbaiki tokopedia aku sering beli disini kalo penjual tidak bertanggung jawab kan jadi takut ,"['perbaiki', 'tokopedia', 'aku', 'sering', 'beli', 'disini', 'kalo', 'penjual', 'tidak', 'bertanggung', 'jawab', 'kan', 'jadi', 'takut']",baik tokopedia aku sering beli sini kalo jual tidak tanggung jawab kan jadi takut
