label,content,clean,norm,stop,token,stem
positif,kelaz aplikasi ini ada barang yang saya butuhkan maju terus lazada 🔥,kelaz aplikasi ini ada barang yang saya butuhkan maju terus lazada, kelaz aplikasi ini ada barang yang saya butuhkan maju terus lazada , kelaz aplikasi ada barang saya butuhkan maju terus lazada ,"['kelaz', 'aplikasi', 'ada', 'barang', 'saya', 'butuhkan', 'maju', 'terus', 'lazada']",kelaz aplikasi ada barang saya butuh maju terus lazada
positif,Sejauh ini sy puas dgn pelayanan belanja di Lazada,sejauh ini sy puas dgn pelayanan belanja di lazada, sejauh ini sy puas dgn pelayanan belanja di lazada , sejauh sy puas dgn pelayanan belanja lazada ,"['sejauh', 'sy', 'puas', 'dgn', 'pelayanan', 'belanja', 'lazada']",jauh sy puas dgn layan belanja lazada
positif,discount nya lumayan bnyk proses nya cepat,discount nya lumayan bnyk proses nya cepat, discount nya lumayan bnyk proses nya cepat , discount nya lumayan bnyk proses nya cepat ,"['discount', 'nya', 'lumayan', 'bnyk', 'proses', 'nya', 'cepat']",discount nya lumayan bnyk proses nya cepat
netral,walaupun menggunakan akun lama tetap terkunci harus ganti akun baru begitu juga akun baru belum masuk sudah terkunci akun barunya,walaupun menggunakan akun lama tetap terkunci harus ganti akun baru begitu juga akun baru belum masuk sudah terkunci akun barunya, walaupun menggunakan akun lama tetap terkunci harus ganti akun baru begitu juga akun baru belum masuk sudah terkunci akun barunya , walaupun menggunakan akun lama tetap terkunci ganti akun begitu akun belum masuk terkunci akun barunya ,"['walaupun', 'menggunakan', 'akun', 'lama', 'tetap', 'terkunci', 'ganti', 'akun', 'begitu', 'akun', 'belum', 'masuk', 'terkunci', 'akun', 'barunya']",walaupun guna akun lama tetap kunci ganti akun begitu akun belum masuk kunci akun baru
negatif,Lazada sekarang mengecewakan..banyak bermasalah..mulai dari toko..barang..sampai ekspedisi..jadi pindah ke apk oren dah..,lazada sekarang mengecewakanbanyak bermasalahmulai dari tokobarangsampai ekspedisijadi pindah ke apk oren dah, lazada sekarang mengecewakanbanyak bermasalahmulai dari tokobarangsampai ekspedisijadi pindah ke apk oren dah , lazada sekarang mengecewakanbanyak bermasalahmulai tokobarangsampai ekspedisijadi pindah apk oren dah ,"['lazada', 'sekarang', 'mengecewakanbanyak', 'bermasalahmulai', 'tokobarangsampai', 'ekspedisijadi', 'pindah', 'apk', 'oren', 'dah']",lazada sekarang mengecewakanbanyak bermasalahmulai tokobarangsampai ekspedisijadi pindah apk oren dah
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
negatif,proses retur yang gak pasti... apk gak tanggungjawab,proses retur yang gak pasti apk gak tanggungjawab, proses retur yang tidak pasti apk tidak tanggungjawab , proses retur apk tidak tanggungjawab ,"['proses', 'retur', 'apk', 'tidak', 'tanggungjawab']",proses retur apk tidak tanggungjawab
positif,FAST respon retur mudah tidak ribet,fast respon retur mudah tidak ribet, fast respon retur mudah tidak ribet , fast respon retur mudah ribet ,"['fast', 'respon', 'retur', 'mudah', 'ribet']",fast respon retur mudah ribet
netral,hhu,hhu, hhu , hhu ,['hhu'],hhu
negatif,siapa juga sih yg mau ganti² akun lazada daftar ulang cape bang. cuma mau gimana akun pertama kalau mau login pakai id ga bisa. gua kan suka ganti hp karna bosen. terus buat baru akun ke 2 mau login kartu 3 gua ada nomor yg sama ubah nomor ponsel ke yg baru ga bisa gagal terus . itu kartu aneh sial masa ada 3 facbok 1 nomor trdftar BCA juga sekarang mau daftar baru lagi pakai nomor baru ga bisa juga cape gua pakai lazada ribet login ulang akun lama pakai baru dgn id ga bisa. pindah aja lah,siapa juga sih yg mau ganti akun lazada daftar ulang cape bang cuma mau gimana akun pertama kalau mau login pakai id ga bisa gua kan suka ganti hp karna bosen terus buat baru akun ke 2 mau login kartu 3 gua ada nomor yg sama ubah nomor ponsel ke yg baru ga bisa gagal terus itu kartu aneh sial masa ada 3 facbok 1 nomor trdftar bca juga sekarang mau daftar baru lagi pakai nomor baru ga bisa juga cape gua pakai lazada ribet login ulang akun lama pakai baru dgn id ga bisa pindah aja lah, siapa juga sih yang mau ganti akun lazada daftar ulang cape bang cuma mau gimana akun pertama kalau mau login pakai id tidak bisa gua kan suka ganti hp karna bosen terus buat baru akun ke 2 mau login kartu 3 gua ada nomor yang sama ubah nomor ponsel ke yang baru tidak bisa gagal terus itu kartu aneh sial masa ada 3 facbok 1 nomor trdftar bca juga sekarang mau daftar baru lagi pakai nomor baru tidak bisa juga cape gua pakai lazada ribet login ulang akun lama pakai baru dgn id tidak bisa pindah aja lah , siapa sih mau ganti akun lazada daftar ulang cape bang cuma mau gimana akun pertama mau login pakai id gua kan suka ganti hp karna bosen terus buat akun 2 mau login kartu 3 gua nomor sama ubah nomor ponsel yang gagal terus kartu aneh sial masa 3 facbok 1 nomor trdftar bca sekarang mau daftar lagi pakai nomor tidak bisa juga cape gua pakai lazada ribet login ulang akun lama pakai dgn id tidak bisa pindah aja lah ,"['siapa', 'sih', 'mau', 'ganti', 'akun', 'lazada', 'daftar', 'ulang', 'cape', 'bang', 'cuma', 'mau', 'gimana', 'akun', 'pertama', 'mau', 'login', 'pakai', 'id', 'gua', 'kan', 'suka', 'ganti', 'hp', 'karna', 'bosen', 'terus', 'buat', 'akun', '2', 'mau', 'login', 'kartu', '3', 'gua', 'nomor', 'sama', 'ubah', 'nomor', 'ponsel', 'yang', 'gagal', 'terus', 'kartu', 'aneh', 'sial', 'masa', '3', 'facbok', '1', 'nomor', 'trdftar', 'bca', 'sekarang', 'mau', 'daftar', 'lagi', 'pakai', 'nomor', 'tidak', 'bisa', 'juga', 'cape', 'gua', 'pakai', 'lazada', 'ribet', 'login', 'ulang', 'akun', 'lama', 'pakai', 'dgn', 'id', 'tidak', 'bisa', 'pindah', 'aja', 'lah']",siapa sih mau ganti akun lazada daftar ulang cape bang cuma mau gimana akun pertama mau login pakai id gua kan suka ganti hp karna bosen terus buat akun 2 mau login kartu 3 gua nomor sama ubah nomor ponsel yang gagal terus kartu aneh sial masa 3 facbok 1 nomor trdftar bca sekarang mau daftar lagi pakai nomor tidak bisa juga cape gua pakai lazada ribet login ulang akun lama pakai dgn id tidak bisa pindah aja lah
negatif,Pernah ketipu uang 1juta ludes gara2 di telfon pihak lazada mana uangnya niatnya buat lebaran ya allah,pernah ketipu uang 1juta ludes gara2 di telfon pihak lazada mana uangnya niatnya buat lebaran ya allah, pernah ketipu uang 1juta ludes gara2 di telfon pihak lazada mana uangnya niatnya buat lebaran ya allah , pernah ketipu uang 1juta ludes gara2 telfon pihak lazada uangnya niatnya buat lebaran allah ,"['pernah', 'ketipu', 'uang', '1juta', 'ludes', 'gara2', 'telfon', 'pihak', 'lazada', 'uangnya', 'niatnya', 'buat', 'lebaran', 'allah']",pernah tipu uang 1juta ludes gara2 telfon pihak lazada uang niat buat lebaran allah
negatif,WOOY LAZZ !!!! KOK GAK BISA BAYAR DI TEMPAT SII METODE PEMBAYARAN NYA ?? NGAPAH ITU ? GAK BISA COD,wooy lazz kok gak bisa bayar di tempat sii metode pembayaran nya ngapah itu gak bisa cod, wooy lazz kok tidak bisa bayar di tempat sii metode pembayaran nya ngapah itu tidak bisa cod , wooy lazz kok bayar tempat sii metode pembayaran nya ngapah tidak bisa cod ,"['wooy', 'lazz', 'kok', 'bayar', 'tempat', 'sii', 'metode', 'pembayaran', 'nya', 'ngapah', 'tidak', 'bisa', 'cod']",wooy lazz kok bayar tempat sii metode bayar nya ngapah tidak bisa cod
netral,tolong pengiriman lebih cepat ok,tolong pengiriman lebih cepat ok, tolong pengiriman lebih cepat ok , pengiriman cepat ,"['pengiriman', 'cepat']",kirim cepat
positif,ok,ok, ok , ,[],
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
