aplikasi,fold,text,true,pred,status
Tokopedia,1,akun saya tiba tiba menghilang padahal disana ada saldo refund,negatif,negatif,BENAR
Tokopedia,1,"Jadi males semenjak merger sma Tiktok, cuma kasih cashback coin saldo, itupun hanya bisa dibelanjain kebarang tertentu. berasa dipaksa jadi konsumtif. dasar pelit.. tinggal nunggu shallernya migrasi pindah semua nati juga ketoko oren",negatif,negatif,BENAR
Tokopedia,1,mantab min,positif,positif,BENAR
Tokopedia,1,bagus,positif,positif,BENAR
Tokopedia,1,oke terbaik,positif,positif,BENAR
Tokopedia,1,mantab,positif,positif,BENAR
Tokopedia,1,"apk nya lambat, ga worth it bgt, saran ku jgn di coba",negatif,negatif,BENAR
Tokopedia,1,"Sistemnya ANCUR. Order pakai instan maks 3 Jam, sudah 5 jam penjual tidak kirim bahkan tidak respon chat, ajukan pembatalan malah diminta tunggu persetujuan penjual, kan aneh. Ini rampok namanya. Kecuali pembatalan dgn alasan yang ga jelas ya wajar. Ini jelas order pakai Instant, yang notabene nya butuh cepat, urgent. Malah diminta tunggu 2 hari kerja. Halooo?? itu saya bayar ongkir instan mahal2 buat apa kalau mesti tunggu 2 hari kerja baru bisa balik uang nya?? Pilih Marketplace lain saja.",negatif,negatif,BENAR
Tokopedia,1,untuk expedisi tolong pake JNT aja yg cepat kalau pakai expedisi yg lain kebanyakan lemot,negatif,negatif,BENAR
Tokopedia,1,"kami mau bayar tagihan gopay later, kenapa tidak bisa melalui aplikasi tokopedia, gagal terus, hari ini jatuh tempo semisal nanti terlambat kan didenda, apakah tokopedia sengaja agar bisa kutip dendanya... tks",negatif,negatif,BENAR
Tokopedia,1,respon cepat,positif,positif,BENAR
Tokopedia,1,mantep 👍,positif,positif,BENAR
Tokopedia,1,bagus,positif,positif,BENAR
Tokopedia,1,ok goooddd,positif,positif,BENAR
Tokopedia,1,terbaik,positif,positif,BENAR
Tokopedia,1,mempermudah pencarian yg kita ingin kan,positif,positif,BENAR
Tokopedia,1,ok,positif,positif,BENAR
Tokopedia,1,hai teman2..waspada y..jangan lagi bertransaksi di tokopedia karena toko2 disana banyak toko penipu..dan toko2 tersebut dilindungi oleh tokopedia itu sendiri..atau bahkan tokopedia itu satu komplotan dengan toko toko penipu..waspada..karena aku sudah menjadi korbannya..boikot tokopedia..jangan sampai makan korban penipuam lebih banyak lagi..,negatif,negatif,BENAR
Tokopedia,1,"mantap,dpt d percaya",positif,positif,BENAR
Tokopedia,1,"voucher pengguna baru gabisa di pake padahal masih aktif, pas tinggal pencet co malah muncul tulisan ""Oops, terjadi kendala. Transaksi tidak dapat di proses. (1)"" padahal kalo co ga pake voucher pengguna baru bisa, gimna sih kalo ga niat ngasih voucher pengguna baru, gausah aja sekalian",negatif,negatif,BENAR
Tokopedia,1,"setelah update aplikasi malah otomatis keluar , gimana ini toped makin susah akses nya.",negatif,negatif,BENAR
Tokopedia,1,"dasar aplikasi Ini,kalau kasih turun harga mikir donk,saya beli tv box Xiaomi gen 3 dulu harganya 1,2juta ,sekarang malah harganya 800rb,bahkan di aplikasi Oren itu malah ada yang 600rb, ditambah lagi saya pas itu beli paylaytwr 6 bulan pula,jadi hampir1,5 juta,saya rugi hampir 1 juga karena paylater bunga terlalu banyak itu,kayak aplikasi Oren lah, bunga 0% malah,ini apa,sama pengguna lama bukannya di kasih promo,malah di naikin bunga,aduh topet topet,maaf aku berhenti jadi pelanggan topet 😡😡",negatif,negatif,BENAR
Tokopedia,1,ok,positif,positif,BENAR
Tokopedia,1,kedua kalinya saya kecewa sama toped. pesan pakai instant ga nyampe2 sampe malam. dicancel pun uang ga langsung kembali. nunggu konfirmasi penjual. kalau kek gini pembeli lagi yg dirugikan. padahal saya butuh BRG itu dihari yg sama. mending beli ke toko offline langsung. walau ebih mahal.,negatif,negatif,BENAR
Tokopedia,1,bagus dan mudah d gunakan,positif,positif,BENAR
Tokopedia,1,"Tolong ditindak dan bila perlu dibanned tutup permanent saja para penjual yg ga jelas, review nya bermasalah, jual barang tidak sesuai deskripsi, deskripsi barang yg membingungkan, foto yg dipajang ga sesuai dan harga yg ga masuk akal, di chat ga response dan kalo transaksi status DIPROSES tapi ga ada update status yang jelas akhirnya dibatalkan system demi kenyamanan dan keamanan pembeli. para penjual nya diverifikasi dengan KTP,NPWP wajah dan alamat yg lengkap Biar ada efek jera.",negatif,negatif,BENAR
Tokopedia,1,bagus,positif,positif,BENAR
Tokopedia,1,Sangat mengecewakan saya ingin membeli barang secara COD tetapi malah Transaksinya malah ada kendala?!! Sialan apakah kau tau ini hari pertama ku belanja di tokopedia dan kau malah ada kendala transaksi SANGAT MENGECEWAKAN?!,negatif,negatif,BENAR
Tokopedia,1,good ,positif,positif,BENAR
Tokopedia,1,good,positif,positif,BENAR
Tokopedia,1,ngambil uang aja tambah rekening dan gak bisa. Tokopedia gabung sama tiktok bener2 hancur. ini gimana kok bisa gini. mau ambil uangku sendiri aja gak bisa terus. Tokopedia tolong jangan gabung sama tiktok.,negatif,negatif,BENAR
Tokopedia,1,"HATI-HATI & pikir 2x kalo belanja melalui tokepd ya kawan. paket sy hilang karna jasa kirim tokped menggunakan pihak yg saling oper gudang.. sudah hampir 3 bulan sejak tengah Juni 2025 lhoo, GAK ADA KEJELASAN. cuman disuruh tunggu investigasi.. sampek event da selesai, paket gue belum nyampek juga.. gue beli di official. Bukankah ada batas waktu 1 bulan, jika paket tidak diterima customer maka otomatis pengembalian dana ke pembeli?!!!",negatif,negatif,BENAR
Tokopedia,1,uangnya bang di balikin itu 1jt loh di dapat susah payah bukan makan uang rakyat,negatif,negatif,BENAR
Tokopedia,1,"aplikasi cacat. komplain retur, resi sudah terinput dan sudah update tetapi di halaman komplain masih keterangan ""Menunggu pick-up barang"". endingnya status pesanan berubah jadi pesanan selesai dan barang sudah di seller , saya satu-satunya yang di rugikan.",negatif,negatif,BENAR
Tokopedia,1,layanan baik,positif,positif,BENAR
Tokopedia,1,Mantap Tokopedia 9.9 Gas cuk,positif,positif,BENAR
Tokopedia,1,J&T anjing. lewat estimasi berhari-hari gak punya tanggung jawabnya. dan gak mau ada ganti kerugian. Di Shopee lewat estimasi dapat 10.000,negatif,negatif,BENAR
Tokopedia,1,ok,positif,positif,BENAR
Tokopedia,1,"aplikasi dg pelayanan pengaduan terburuk. tidak ada cs hanya ada chat bot, yg isinya hanya gimick. disaat terjadi penipuan oleh toko di platform app tidak ada tindak lanjut. kalah sama app orange shopee",negatif,negatif,BENAR
Tokopedia,1,"Bagaimana ToPed sekarang,Pengiriman barangnya Tidak Tepat Waktu,Menu Di Proses dan Di Kirim juga Tidak Ada Keterangannya, Parah. Sangat Tidak Recomended !!!!!!!",negatif,negatif,BENAR
Tokopedia,1,"di bilangin update tkped pasti error dan malah fiturnya tambh rumit, admin ndablek....😩",negatif,negatif,BENAR
Tokopedia,1,bisa terbantu oleh Tokopedia,positif,positif,BENAR
Tokopedia,1,mantap,positif,positif,BENAR
Tokopedia,1,"ini market place macam apa, buka website susah, topup gopay & perpanjang plus di aplikasi nga bisa kebuka muter terus..parah",negatif,negatif,BENAR
